PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,label,split,fold
24.732304,1.1306641,-2.987092,-3.883587,2.2801561,6.5237684,-6.092161,-2.6826513,-2.5014005,4.553452,1,train,1
25.70013,5.852014,-15.257912,-3.1308136,-7.9172554,-5.590758,-2.0953615,-0.5866956,0.31603867,0.30193666,1,train,1
23.82549,7.1123075,-13.732839,-2.4383123,-8.435923,-5.1241436,-2.8103302,-0.85114884,-1.4225743,1.3101236,1,train,1
18.439053,8.592522,-10.666204,0.4705628,-9.673964,-4.5835605,-1.6738783,-0.013215069,-3.2193482,0.95788187,1,train,1
20.599714,7.8568153,-11.992316,-0.66518587,-9.159695,-5.228014,-1.0903481,0.2662484,-3.2824976,2.757338,1,train,1
23.23512,7.7179565,-13.899848,-2.504,-9.133653,-5.8779597,-1.1668288,-0.271262,-2.1427095,0.8951996,1,train,1
19.335938,8.810587,-10.995349,-0.5283127,-7.692631,-5.1993556,-1.541255,0.3227468,-3.0217557,1.5459911,1,train,1
20.423712,8.510243,-11.60044,-1.155092,-9.398886,-4.4702997,-2.550015,-0.62919515,-2.6017976,2.3327875,1,train,1
24.969484,3.6704655,-16.166487,-3.219017,-5.9368935,-8.665006,0.8496401,1.9305162,-1.7822183,1.4804608,1,train,1
25.813934,2.8556569,-14.561831,-3.2856865,-4.0235643,-6.7455454,-0.24475707,1.2055514,-1.2315073,1.7585319,1,train,1
24.086143,4.391426,-13.398237,-2.4036758,-6.2988653,-6.814816,1.7768463,2.3822,-2.6769238,3.6114755,1,train,1
25.251938,3.9291182,-15.109817,-2.6066864,-5.085607,-8.866705,1.688999,3.0828724,-2.5400503,5.2108064,1,train,1
22.127588,5.1075225,-12.890324,-1.7402593,-4.6836786,-7.6502886,0.11171123,2.4603324,-2.3485527,4.6649866,1,train,1
21.215353,6.418693,-11.657728,-1.5561525,-4.713519,-6.41888,-0.19858441,2.5219564,-4.289883,3.6066442,1,train,1
23.653925,5.007227,-13.152291,-2.3531168,-6.07441,-6.1686954,0.17326476,1.6993095,-3.1945906,1.8004173,1,train,1
29.017166,0.41588894,-16.141777,-4.5800133,-1.5810615,-8.237094,1.0093784,4.1023903,-3.1807494,0.69050825,1,train,1
28.028994,2.157603,-16.291872,-3.71431,-1.4275159,-7.6369834,0.23808305,3.2587986,-4.235217,1.5632732,1,train,1
25.236006,2.0792825,-15.529281,-2.5575008,-4.722848,-7.0703425,4.0194707,3.3940594,-4.1495757,2.5594113,1,train,1
26.49289,3.0756729,-14.973189,-2.3266077,-6.091978,-6.4693947,3.7831209,2.2107596,-3.341316,3.6947687,1,train,1
24.963488,4.108073,-14.436494,-2.3535101,-2.9997249,-7.726185,0.41866726,3.460092,-3.7297666,2.8020115,1,train,1
24.905085,3.6390808,-14.853931,-2.1374793,-1.8242772,-9.546743,0.5733592,5.55332,-3.5283275,3.963454,1,train,1
25.281818,4.6583133,-15.485187,-2.3434331,-3.8164203,-6.0449677,-0.04392198,2.3345826,-5.125344,2.6625342,1,train,1
9.126088,-5.7758274,11.153127,-0.0003338667,-1.152927,-1.0331973,2.791917,0.22575219,5.1032352,-7.648718,1,train,1
5.889498,-4.422415,8.156959,2.7914908,-0.6275267,-2.5367892,0.88457656,1.0304096,4.5884356,-7.984568,1,train,1
22.354658,-5.7906733,10.277359,-4.0585938,-2.1056,4.6360617,2.1689956,1.2739128,8.215653,-4.8189654,1,train,1
